State,Abbreviation,Capitol
Alabama,AL,Montgomery
Alaska,AK,Juneau
Arizona,AZ,Phoenix
Arkansas,AR,Little Rock
California,CA,Sacramento
Colorado,CO,Denver
Connecticut,CT,Hartford
Delaware,DE,Dover
District of Columbia,DC,"Washington, D.C."
Florida,FL,Tallahassee
Georgia,GA,Atlanta
Hawaii,HI,Honolulu
Idaho,ID,Boise
Illinois,IL,Springfield
Indiana,IN,Indianapolis
Iowa,IA,Des Moines
Kansas,KS,Topeka
Kentucky,KY,Frankfort
Louisiana,LA,Baton Rouge
Maine,ME,Augusta
Montana,MT,Annapolis
Nebraska,NE,Boston
Nevada,NV,Lansing
New Hampshire,NH,Saint Paul
New Jersey,NJ,Jackson
New Mexico,NM,Jefferson City
New York,NY,Helena
North Carolina,NC,Lincoln
North Dakota,ND,Carson City
Ohio,OH,Concord
Oklahoma,OK,Trenton
Oregon,OR,Santa Fe
Maryland,MD,Albany
Massachusetts,MA,Raleigh
Michigan,MI,Bismarck
Minnesota,MN,Columbus
Mississippi,MS,Oklahoma City
Missouri,MO,Salem
Pennsylvania,PA,Harrisburg
Rhode Island,RI,Providence
South Carolina,SC,Columbia
South Dakota,SD,Pierre
Tennessee,TN,Nashville
Texas,TX,Austin
Utah,UT,Salt Lake City
Vermont,VT,Montpelier
Virginia,VA,Richmond
Washington,WA,Olympia
West Virginia,WV,Charleston
Wisconsin,WI,Madison
Wyoming,WY,Cheyenne